srr,bioproject
SRR3452717,PRJNA319738
SRR3452718,PRJNA319738
SRR3452719,PRJNA319738
SRR3452720,PRJNA319738
SRR3452721,PRJNA319738
SRR3452722,PRJNA319738
SRR3452723,PRJNA319738
SRR3452724,PRJNA319738
SRR3452725,PRJNA319738
SRR3452726,PRJNA319738
SRR3452727,PRJNA319738
SRR3452728,PRJNA319738
SRR30502486,PRJNA1154941
SRR30502487,PRJNA1154941
SRR30502488,PRJNA1154941
SRR30502489,PRJNA1154941
SRR30502490,PRJNA1154941
SRR30502491,PRJNA1154941
SRR30502492,PRJNA1154941
SRR30502493,PRJNA1154941
SRR30502494,PRJNA1154941
SRR30502495,PRJNA1154941
SRR30502496,PRJNA1154941
SRR30502497,PRJNA1154941
SRR28399980,PRJNA1090110
SRR28399981,PRJNA1090110
SRR28399982,PRJNA1090110
SRR28399985,PRJNA1090110
SRR28399986,PRJNA1090110
SRR28399988,PRJNA1090110
SRR14792181,PRJNA736757
SRR14792182,PRJNA736757
SRR14792183,PRJNA736757
SRR14792184,PRJNA736757
SRR14792185,PRJNA736757
SRR14792186,PRJNA736757
SRR14792193,PRJNA736757
SRR14792204,PRJNA736757
SRR14792205,PRJNA736757
SRR14792206,PRJNA736757
SRR14792207,PRJNA736757
SRR14792208,PRJNA736757
SRR14792209,PRJNA736757
SRR14792210,PRJNA736757
SRR14792211,PRJNA736757
SRR14792212,PRJNA736757
SRR14792213,PRJNA736757
SRR14792214,PRJNA736757
SRR14792215,PRJNA736757
SRR14792216,PRJNA736757
SRR29275385,PRJNA1119650
SRR29275386,PRJNA1119650
SRR29275387,PRJNA1119650
SRR29275388,PRJNA1119650
SRR29275389,PRJNA1119650
SRR29275390,PRJNA1119650
SRR29275391,PRJNA1119650
SRR29275392,PRJNA1119650
SRR29275393,PRJNA1119650
SRR29275394,PRJNA1119650
SRR29275395,PRJNA1119650
SRR29275396,PRJNA1119650
SRR29275397,PRJNA1119650
SRR29275398,PRJNA1119650
SRR29275399,PRJNA1119650
SRR29275400,PRJNA1119650
SRR29275401,PRJNA1119650
SRR29275402,PRJNA1119650
SRR29275403,PRJNA1119650
SRR29275404,PRJNA1119650
SRR29275405,PRJNA1119650
SRR29275406,PRJNA1119650
SRR29275407,PRJNA1119650
SRR29275408,PRJNA1119650
SRR29275409,PRJNA1119650
SRR29275410,PRJNA1119650
SRR29275411,PRJNA1119650
SRR29275412,PRJNA1119650
SRR29275413,PRJNA1119650
SRR29275414,PRJNA1119650
SRR29275415,PRJNA1119650
SRR29275416,PRJNA1119650
SRR29275417,PRJNA1119650
SRR29275418,PRJNA1119650
